Product Name,Website / Pricing,Brand name,Wyz Categories,G2 Category,G2 SubCategory,Utilisation Type,Plan Type ,Resource ,Top 5 Use Case of the Application,RFQ,,,,More Details from Customer,,,
GitLab,https://about.gitlab.com/,GitLab,DW - Productivity Tools,DevOps Software,Version Control Hosting Software,Per Seat,Premium,,,,,"$29 per user/month,
billed annually",Optional,,,Type of Billing,Frequency(Monthly/Annual/Quaterly)
GitLab,https://about.gitlab.com/,GitLab,DW - Productivity Tools,DevOps Software,Version Control Hosting Software,Per Seat,Ultimate,,,,,Contact Sales,Optional,,,,Currency(USD/INR)
GitHub,https://github.com/,Microsoft,DW - Productivity Tools,DevOps Software,Version Control Hosting Software,Per Seat,Free,"https://github.com/pricing
https://www.g2.com/products/github/reviews
Chat GPT",". Collaborative Software Development:
   Teams can work together on the same codebase, track changes, and manage contributions through pull requests, making it easy to collaborate from anywhere.

. Open Source Project Hosting:
   Developers can publish and share their code, allowing the global community to contribute, improve, and use it, fostering innovation and collaboration.

. Project Documentation:
   Use GitHub’s wikis and markdown files to create and maintain comprehensive project documentation, making it easy for new contributors to get up to speed.

. Version Control:
   Track changes to your code over time, revert to previous versions when necessary, and understand the history and evolution of your project.

. Automated Testing and Deployment:
   Integrate GitHub with CI/CD tools to automate the testing and deployment process, ensuring code quality and accelerating the release cycle.",". Collaborator Seats: Pricing based on the number of collaborators allowed per repository.
. Storage Limits: Different tiers with varying amounts of storage for repositories.
. Enterprise Support: Premium pricing for dedicated support and SLA (Service Level Agreement) guarantees.
. Extra cost for compliance features and regulatory certifications.
. Optional paid training sessions or onboarding services for teams.",Monthly,$0,No / Support,,,Commitment,Time Based
GitHub,https://github.com/,Microsoft,DW - Productivity Tools,DevOps Software,Version Control Hosting Software,Per Seat,Team ,,,,,$4 per user/month,No / Support,,,,Usage Based
GitHub,https://github.com/,Microsoft,DW - Productivity Tools,DevOps Software,Version Control Hosting Software,Per Seat,Enterprise,,,,,$21 per user/month,Optional for GitHub Enterprise Server,,,,Vendor Based
Atlas ,https://www.mongodb.com/atlas,Mongo DB,DPDT- Data & GenAi,Database Software,Database as a Service (DBaaS) Providers,Usage Based,Shared,"https://www.mongodb.com/pricing
https://www.g2.com/products/mongodb-atlas/pricing
Chat GPT","
. Scalable Web Applications: MongoDB Atlas is ideal for building scalable web applications due to its flexible data model and automatic scaling capabilities.

. Real-time Analytics: It supports real-time analytics by efficiently storing and querying large volumes of data, making it suitable for operational analytics and business intelligence.

. Mobile Applications: MongoDB Atlas provides seamless integration with mobile applications, offering offline synchronization and flexible data storage options.

. Internet of Things (IoT): It manages IoT data effectively with features like time-series data storage, enabling real-time data processing and analysis from connected devices.

. Content Management and Delivery: MongoDB Atlas powers content-rich applications and websites with its ability to store and serve unstructured data, manage metadata, and support content versioning.

","Instance Type: Pricing varies based on the type of MongoDB instance (shared or dedicated) and the specific configuration (e.g., CPU cores, RAM).

Instance Size: Costs increase with larger instance sizes, accommodating greater processing power and storage capacity.

Storage: Pricing is based on the amount of storage allocated to your databases, with additional costs for exceeding allocated storage limits.

Data Transfer: Charges apply for data transferred into and out of your MongoDB Atlas clusters, based on the volume of data transferred.

Backup and Restore: Automated backups are included, with options for point-in-time recovery and extended retention periods available at additional cost.",Monthly,$0,,,,,
Atlas ,https://www.mongodb.com/atlas,Mongo DB,DPDT- Data & GenAi,Database Software,Database as a Service (DBaaS) Providers,Usage Based,Serverless,,,,,"from 
$0.10/million reads ( Usage based)",,,,Initial Purchase,ISV/Partner
Atlas ,https://www.mongodb.com/atlas,Mongo DB,DPDT- Data & GenAi,Database Software,Database as a Service (DBaaS) Providers,Usage Based,"
Dedicated",,,,,$57/ month ,,,,,Name of existing partner
Marketing Hub,https://www.hubspot.com/products/marketing,HubSpot,SCS- Sales & Marketing,Marketing Automation Software,,Per Seat, Free,"https://www.g2.com/products/hubspot-marketing-hub/reviews
https://www.hubspot.com/pricing/marketing/
Chat GPT","Lead Generation and Management: Capture and nurture leads through targeted campaigns, forms, and landing pages, integrating with CRM systems for seamless lead management.

Email Marketing Automation: Create personalized email campaigns, automate follow-ups, and track engagement metrics to optimize email performance.

Social Media Management: Schedule posts, monitor social media interactions, and analyze performance across multiple platforms to enhance brand presence and engagement.

Content Marketing: Plan, create, and distribute content across various channels, leveraging SEO tools and analytics to improve content effectiveness and reach.

Analytics and Reporting: Measure campaign performance, track ROI, and generate detailed reports to inform strategic decisions and optimize marketing efforts.","User Licenses: Pricing often scales with the number of users accessing the platform, with different tiers offering varying levels of access and permissions.

Contacts and Database Size: Costs may vary based on the number of contacts or size of the database managed within the platform, influencing storage and processing requirements.

Feature Tiers: Different pricing levels based on the features and capabilities included, such as email marketing, social media management, and advanced automation.

Volume of Emails: Pricing can be influenced by the volume of emails sent per month or additional costs for higher email limits and sending capacities.

Add-Ons and Integrations: Additional costs may apply for integrations with third-party applications, advanced analytics, custom reporting, and premium support services.",Monthly,$0,No / Support,,,,
Marketing Hub,https://www.hubspot.com/products/marketing,HubSpot,SCS- Sales & Marketing,Marketing Automation Software,,Per Seat,Starter,,,,,$15/mo/seat,No / Support,,,,
Marketing Hub,https://www.hubspot.com/products/marketing,HubSpot,SCS- Sales & Marketing,Marketing Automation Software,,Per Seat,Professional,,,,,"$800/mo
Includes 3 seats",No / Support,,,Google Worskapce Specific Questions,Subquestions
Marketing Hub,https://www.hubspot.com/products/marketing,HubSpot,SCS- Sales & Marketing,Marketing Automation Software,,Per Seat,Enterprise,,,,,"$3,600/mo
Includes 5 seats",No / Support,,,Number of Licences,
Sales Hub,https://www.hubspot.com/pricing/sales,HubSpot,SCS- Sales & Marketing,CRM Software,,Per Seat, Free,"https://www.hubspot.com/pricing/sales
https://www.g2.com/products/hubspot-sales-hub/pricing
Chat GPT",".Personalized Outreach: Tailor outreach efforts based on detailed prospect insights, past interactions, and preferences, enhancing engagement and relationship-building.

. Predictive Analytics: Utilize data-driven insights and predictive analytics to forecast sales trends, identify potential bottlenecks, and optimize sales strategies for better outcomes.

. Sales Enablement: Equip sales teams with tools, content, and resources to effectively engage prospects at each stage of the buyer's journey, fostering confidence and competence.

. Workflow Automation: Streamline complex sales processes, automate routine tasks like lead follow-ups and contract management, and ensure consistency in sales operations.

. Integration Ecosystem: Leverage seamless integrations with marketing platforms, customer support systems, and analytics tools to create a cohesive ecosystem that enhances cross-functional collaboration and data visibility.

.",". User Licenses: Pricing often scales with the number of users accessing the Sales Hub platform, offering different tiers with varying levels of access and permissions.

. Contacts and Database Size: Costs may vary based on the number of contacts or size of the database managed within Sales Hub, influencing storage and processing requirements.

. Feature Tiers: Different pricing levels based on the features and capabilities included, such as sales automation, predictive analytics, and advanced reporting.

. Volume of Contacts: Pricing can be influenced by the volume of contacts managed or additional costs for increasing contact limits and data storage.

. Integration and Add-Ons: Additional costs may apply for integrating with third-party applications, accessing advanced analytics, customizing workflows, and obtaining premium support services.",Monthly,$0,No / Support,,,Type of Licences,Buisness/Enterprise
Sales Hub,https://www.hubspot.com/pricing/sales,HubSpot,SCS- Sales & Marketing,CRM Software,,Per Seat,Starter,,,,,$15/mo/seat,No / Support,,,Billing Cycle,Monthly/Annual
Sales Hub,https://www.hubspot.com/pricing/sales,HubSpot,SCS- Sales & Marketing,CRM Software,,Per Seat,Professional,,,,,$90/mo/seat,No / Support,,,Domain on which licences are required,
Sales Hub,https://www.hubspot.com/pricing/sales,HubSpot,SCS- Sales & Marketing,CRM Software,,Per Seat,Enterprise,,,,,$150/mo/seat,No / Support,,,Transfer Token,
Linkedin Recruiter,https://business.linkedin.com/en-in/talent-solutions/,Linkedin,DW- HRMS,Recruiting Software,Recruiting Automation Software,,Recuriter Lite,"https://www.linkedin.com/pulse/how-much-linkedin-recruiter-2024-edition-michael-kilcullen-51yge/
ChatGPT","Precision Search and Filtering: Utilize LinkedIn's advanced search filters and Boolean operators to pinpoint candidates with specific skills, experience levels, and geographic preferences, ensuring targeted recruitment efforts.

InMail Campaigns: Engage potential candidates directly through personalized InMail messages, leveraging LinkedIn's analytics to optimize message delivery and response rates.

Competitive Intelligence: Gain insights into competitor hiring trends and talent movements through LinkedIn's company insights and talent pool analysis, informing proactive recruitment strategies.

Collaborative Hiring Process: Facilitate seamless collaboration among hiring teams with LinkedIn Recruiter's shared candidate profiles, real-time feedback, and integrated scheduling tools.

Integration with ATS: Integrate LinkedIn Recruiter with your Applicant Tracking System (ATS) to streamline candidate data management, automate workflows, and ensure data consistency across recruitment stages","Seat Licenses: Pricing typically scales with the number of recruiter seats or licenses required, allowing access to LinkedIn Recruiter's tools and features.

Search and InMail Credits: Additional costs may apply for purchasing search credits to access advanced search filters and InMail credits for sending messages to candidates outside your network.

Access Levels: Different pricing tiers offer varying levels of access to candidate profiles, search functionalities, and analytics tools based on subscription plans.

Enhanced Features: Optional upgrades for enhanced features such as competitive insights, talent pool analytics, and automated candidate recommendations may incur additional costs.

Contract Length and Renewals: Discounts or incentives may be offered for longer-term commitments or renewals, providing cost savings over time.",,,,,,,
Linkedin Recruiter,https://business.linkedin.com/en-in/talent-solutions/,Linkedin,DW- HRMS,Recruiting Software,Recruiting Automation Software,,Recuriter Professional Service,,,,,,,,,Atlassian Specific Questions,Subquestions
Linkedin Recruiter,https://business.linkedin.com/en-in/talent-solutions/,Linkedin,DW- HRMS,Recruiting Software,Recruiting Automation Software,,Recuriter Corporate,,,,,,,,,Number of Licences,
Sales Engagement,https://outplayhq.com/sales-engagement-platform,Outplay,SCS- Sales & Marketing,Sales Acceleration Software,Sales Engagement Software,Per Seat,Starter,https://outplayhq.com/pricing,". Multi-Channel Outreach: Engage prospects through personalized email sequences, automated phone calls, SMS messages, and social media interactions, ensuring a diverse and effective outreach strategy.

. Cadence Management: Create and manage customized cadences of communication tailored to each prospect's journey, automating follow-ups and nurturing sequences to maintain engagement.

. Personalization at Scale: Leverage dynamic email templates and personalized messaging features to deliver relevant content based on prospect data, increasing response rates and building stronger relationships.

. Activity Tracking and Analytics: Monitor prospect interactions in real-time, track email opens, link clicks, call outcomes, and response rates to refine outreach strategies and prioritize leads effectively.

. Integration with CRM Systems: Seamlessly synchronize data between Outplay and CRM platforms like Salesforce and HubSpot, ensuring a unified view of prospect interactions and enabling streamlined follow-up actions.",". Seat Licenses: Pricing typically scales with the number of users or seats accessing Outplay, allowing sales teams to collaborate and utilize its features for outreach and engagement.

. Feature Tiers: Different pricing levels based on the features and capabilities included, such as multi-channel outreach, cadence management, and advanced analytics.

. Usage Limits: Additional costs may apply based on usage limits for email sends, call minutes, SMS messages, and other outreach activities beyond included quotas.

. Integration Requirements: Costs for integrating Outplay with CRM systems, marketing automation tools, and other platforms may vary based on the complexity and scale of integration needed.

. Support and Training: Optional packages for premium support, onboarding, and training sessions to maximize team effectiveness and adoption of Outplay's features.","Monthly, Annualy",$0,No / Support,,,Type of Licences,Standard/Enterprise
Sales Engagement,https://outplayhq.com/sales-engagement-platform,Outplay,SCS- Sales & Marketing,Sales Acceleration Software,Sales Engagement Software,Per Seat,Growth,,,,,"$99 /month /user, billed monthly
$79
/month /user, billed annually",No / Support,,,Billing Cycle,Monthly/Annual
Sales Engagement,https://outplayhq.com/sales-engagement-platform,Outplay,SCS- Sales & Marketing,Sales Acceleration Software,Sales Engagement Software,Per Seat,Enterprise,,,,,Contact sales,No / Support,,,SEN Number,
Sales Prospector,https://www.cognism.com/prospector,Cognism,SCS- Sales & Marketing,Sales Intelligence Software,,Per Seat,Platinum ,"https://www.cognism.com/pricing
","Targeted List Building for Fortune 500 Companies:  Cognism excels at providing access to a vast pool of verified contacts within large, complex organizations   This allows sales teams to build targeted prospect lists for Fortune 500 companies, focusing on specific departments or decision-makers.

Increased Connect Rates with Seamless CRM Integration:  Cognism integrates with popular CRM platforms like Salesforce and Salesloft with just a click. This streamlines outreach and ensures data consistency. By having accurate contact information and leveraging Cognism's insights, salespeople can personalize outreach for higher connect rates.

List Cleansing & Enrichment Beyond Competitors:  While competitors offer data enrichment, Cognism focuses on data quality and GDPR compliance.  This ensures your lists are up-to-date and reduces outreach bounces. Additionally, Cognism goes beyond basic enrichment, providing insights like buying committee structure and technographic data.

Identifying Multithreading Opportunities:  Cognism's data allows you to see the connections between different people within a target account . This enables you to identify ""multithreading"" opportunities, where you can approach multiple decision-makers simultaneously to increase your chances of closing a deal.

Reduced Lead List Building Time:  Sales teams spend a significant amount of time on manual research for lead generation. Cognism boasts a significant time-saving advantage  (https://www.cognism.com/case-studies), allowing you to build high-quality lead lists in a fraction of the time compared to manual methods. This frees up your salespeople to focus on outreach and closing deals.",,,,No / Support,,,Registered email id with Atlassian,
Sales Prospector,https://www.cognism.com/prospector,Cognism,SCS- Sales & Marketing,Sales Intelligence Software,,Per Seat,Diamond,,,,,,,,,,
Zohodesk,https://www.zoho.com/desk/,ZOHO,SCS- Sales & Marketing,Help Desk Software,,Per Seat,Standard,"https://www.zoho.com/desk/pricing.html
",". Customer Support Management: Organize and manage customer queries through a robust ticketing system, ensuring efficient resolution and tracking of issues.
. Automation: Implement custom workflows, macros, and rule-based automations to handle repetitive tasks, improving support efficiency.
. Multi-Channel Support: Integrate and manage customer interactions across multiple channels like email, phone, chat, and social media from a single platform.
. Analytics and Reporting: Generate comprehensive reports on support metrics, agent performance, and customer satisfaction to identify areas for improvement.
. Self-Service Portals: Create and manage knowledge bases and community forums to empower customers with self-service options, reducing support load.",,,,,,,Salesfore Specific Questions,Subquestions
Zohodesk,https://www.zoho.com/desk/,ZOHO,SCS- Sales & Marketing,Help Desk Software,,Per Seat,Professional,,,,,,,,,Number of Licences,
Zohodesk,https://www.zoho.com/desk/,ZOHO,SCS- Sales & Marketing,Help Desk Software,,Per Seat,Enterprise,,,,,,,,,Type of Licences,Standard/Enterprise(CRM) or Pro/Enterprise(Slack)
Fresdesk,https://www.freshworks.com/freshdesk/,Freshworks,SCS- Customer Service,Help Desk Software,,Per Seat,Free,https://www.freshworks.com/freshdesk/pricing/,". Ticketing System: Centralize customer issues into tickets, allowing for efficient management and resolution tracking within the support team.
. Service Level Agreement (SLA) Management: Define and enforce SLAs to ensure timely responses and resolutions, enhancing customer satisfaction.
. Collaboration: Enable team collaboration through shared ticket ownership, internal notes, and agent collision detection to prevent duplicate efforts.
. Automation: Use automated workflows, canned responses, and event-based triggers to streamline support processes and reduce manual work.
. Multi-Channel Support: Provide support through email, chat, phone, social media, and web, ensuring a seamless customer experience across all touchpoints.",,Monthly/ Annually,$0,,,,Billing Cycle,Monthly/Annual
Fresdesk,https://www.freshworks.com/freshdesk/,Freshworks,SCS- Customer Service,Help Desk Software,,Per Seat,Growth,,,,Monthly/ Annually,"₹1199
/agent/month, billed monthly",,,,Current Account Excecutive Details,
Fresdesk,https://www.freshworks.com/freshdesk/,Freshworks,SCS- Customer Service,Help Desk Software,,Per Seat,Pro,,,,Monthly/ Annually,"₹4299
/agent/month, billed monthly",,,,,
Fresdesk,https://www.freshworks.com/freshdesk/,Freshworks,SCS- Customer Service,Help Desk Software,,Per Seat,Enterprise,,,,Monthly/ Annually,"₹6899
/agent/month, billed monthly",,,,,
Google Workspace,https://workspace.google.com/,Google,DW- Productivity,Office Suites Software,,Per Seat,Business starter ,https://workspace.google.com/pricing.html?source=gafb-individual-globalnav-en,". Collaboration: Use Google Docs, Sheets, and Slides for real-time collaboration on documents, spreadsheets, and presentations.
. Communication: Leverage Gmail and Google Meet for seamless email communication and video conferencing.
. Storage and Sharing: Utilize Google Drive for secure file storage and sharing, with advanced permissions and version control.
. Productivity: Manage tasks and schedules with Google Calendar, Keep, and Tasks to stay organized and on track.
. Security and Compliance: Benefit from robust security features like two-factor authentication, data encryption, and compliance tools.
",,Monthly,"₹136.90 INR

per user / month, 1 year commitment",,,,,
Google Workspace,https://workspace.google.com/,Google,DW- Productivity,Office Suites Software,,Per Seat,Business Standard,,,,Monthly,"₹736 INR

per user / month, 1 year commitment
",,,,,
Google Workspace,https://workspace.google.com/,Google,DW- Productivity,Office Suites Software,,Per Seat,Business Plus,,,,Monthly,"Business Plus
₹1,380 INR
per user / month, 1 year commitment",,,,,
Google Workspace,https://workspace.google.com/,Google,DW- Productivity,Office Suites Software,,Per Seat,Business enterprise,,,,Monthly,Contact sales,,,,,
Slack,https://slack.com/intl/en-in,Salesforce,DW- DevEx,Internal Communications Software,Business Instant Messaging Software,Per Seat,Free,https://slack.com/intl/en-in/pricing,"Team Communication: Facilitate real-time messaging, group discussions, and direct messages to streamline team communication.

Integration Hub: Connect with various tools and services through integrations, automating workflows and centralizing notifications.

File Sharing: Share files and documents within channels or direct messages, with easy search and retrieval options.

Collaboration: Use channels for team projects, departments, or topics to keep conversations organized and focused.

Remote Work: Support remote and distributed teams with features like huddles and screen sharing for effective collaboration.",,Monthly,$0,,,,,
Slack,https://slack.com/intl/en-in,Salesforce,DW- DevEx,Internal Communications Software,Business Instant Messaging Software,Per Seat,Pro,,,,Monthly,₹245.25/mth,,,,,
Slack,https://slack.com/intl/en-in,Salesforce,DW- DevEx,Internal Communications Software,Business Instant Messaging Software,Per Seat,Business+,,,,Monthly,₹422.10/mth,,,,,
Slack,https://slack.com/intl/en-in,Salesforce,DW- DevEx,Internal Communications Software,Business Instant Messaging Software,Per Seat,Enterprise Grid,,,,Monthly,Contact sales,,,,,
Creative Studio,https://www.adobe.com/in/creativecloud.html,Adobe,DPDT- Design,Other Product Suites Software,,Per Seat,Individuals ,https://www.adobe.com/in/creativecloud/plans.html#,"Graphic Design: Create professional graphics and illustrations using tools like Adobe Photoshop and Illustrator.

Video Editing: Edit and produce high-quality videos with Adobe Premiere Pro and After Effects.

Web Design: Design responsive websites and user interfaces with Adobe XD and Dreamweaver.

Photography: Edit and enhance photos using Adobe Lightroom and Photoshop.

Document Management: Create, edit, and manage PDFs with Adobe Acrobat.",,Monthly,"₹1,915.14/mo 

",,,,,
Creative Studio,https://www.adobe.com/in/creativecloud.html,Adobe,DPDT- Design,Other Product Suites Software,,Per Seat,Business,,,,Monthly,"₹5,750.00/mo",,,,,
Creative Studio,https://www.adobe.com/in/creativecloud.html,Adobe,DPDT- Design,Other Product Suites Software,,Per Seat,Student & Teachers,,,,Monthly,₹638.38/mo ,,,,,
Creative Studio,https://www.adobe.com/in/creativecloud.html,Adobe,DPDT- Design,Other Product Suites Software,,Per Seat,School & Universities ,,,,Monthly,"₹2,367.00/mo",,,,,
Zoominfo,https://www.zoominfo.com/,Zoominfo,SCS- Sales & Marketing,Sales Intelligence Software,,Per Seat,,https://www.zoominfo.com/pricing,". Sales Prospecting: Access a vast database of company and contact information for targeted sales outreach.

. Market Intelligence: Gain insights into market trends, company news, and industry developments.

. Lead Generation: Identify and qualify potential leads using advanced search filters and data analytics.

. Data Enrichment: Enhance and update CRM records with accurate and up-to-date information.

. Account-Based Marketing: Tailor marketing efforts to specific accounts using detailed company profiles.",,Monthly,Contact sales,,,,,
SalesHandy,https://www.saleshandy.com/,SalesHandy,SCS- Sales & Marketing,Sales Acceleration Software,Email Tracking Software,Usage Based,Outreach Starter,https://www.saleshandy.com/pricing/,". Email Tracking: Track email opens, clicks, and replies to gauge engagement and follow up effectively.

. Email Scheduling: Schedule emails to be sent at optimal times for increased open rates and responses.

. Mail Merge: Send personalized bulk emails with dynamic fields for efficient outreach.

. Templates: Use pre-designed email templates to maintain consistency and save time.

. Analytics: Analyze email performance metrics to refine strategies and improve results..","Monthly, Annualy
",monthly/annually,"$25/ Annually
$36 /Month",,,,,
SalesHandy,https://www.saleshandy.com/,SalesHandy,SCS- Sales & Marketing,Sales Acceleration Software,Email Tracking Software,Usage Based,Outreach Pro,,,,monthly/annually,"$74/ Annually
$99 /Month",,,,,
SalesHandy,https://www.saleshandy.com/,SalesHandy,SCS- Sales & Marketing,Sales Acceleration Software,Email Tracking Software,Usage Based,Outreach Scale,,,,monthly/annually,"$149/ Annually
$199 /Month",,,,,
SalesHandy,https://www.saleshandy.com/,SalesHandy,SCS- Sales & Marketing,Sales Acceleration Software,Email Tracking Software,Usage Based,Outreach Scale Plus100k,,,,monthly/annually,"$219/ Annually
$299 /Month",,,,,
Trello,https://trello.com/,Atlassian,DW- Productivity Tools,"Project, Portfolio & Program Management Software",Project Management Software,Per Seat,FREE,https://trello.com/pricing,". Task Management: Organize and prioritize tasks using boards, lists, and cards for visual project tracking.

. Team Collaboration: Collaborate with team members by assigning tasks, adding comments, and attaching files.

. Workflow Automation: Automate repetitive tasks with Butler, Trello’s built-in automation tool.

. Project Planning: Plan and track project progress with custom boards and checklists.

. Integration: Connect with other tools and services to streamline workflows and centralize information",,Monthly,$0USD,,,,,
Trello,https://trello.com/,Atlassian,DW- Productivity Tools,"Project, Portfolio & Program Management Software",Project Management Software,Per Seat,STANDARD,,,,Monthly,$5USD,,,,,
Trello,https://trello.com/,Atlassian,DW- Productivity Tools,"Project, Portfolio & Program Management Software",Project Management Software,Per Seat,PREMIUM,,,,Monthly,$10USD,,,,,
Trello,https://trello.com/,Atlassian,DW- Productivity Tools,"Project, Portfolio & Program Management Software",Project Management Software,Per Seat,ENTERPRISE,,,,Monthly,$17.50USD (Est. for 5 users),,,,,
ClickUp,https://clickup.com/,ClickUp,DW- Productivity Tools,Markup Software,,Per Seat,Free,https://clickup.com/pricing,". Task Management: Manage tasks with lists, boards, and timelines, allowing for detailed task tracking and organization.

. Goal Setting: Set and track goals, aligning team efforts with company objectives.

. Time Tracking: Log time spent on tasks and projects for accurate billing and productivity analysis.

. Document Collaboration: Create, share, and collaborate on documents within the platform.

. Custom Workflows: Design custom workflows to match unique project needs and optimize processes.",,Monthly/ Annually,$0USD,,,,,
ClickUp,https://clickup.com/,ClickUp,DW- Productivity Tools,Markup Software,,Per Seat,Unlimited,,". Task Management: Manage tasks with lists, boards, and timelines, allowing for detailed task tracking and organization.

. Goal Setting: Set and track goals, aligning team efforts with company objectives.

. Time Tracking: Log time spent on tasks and projects for accurate billing and productivity analysis.

. Document Collaboration: Create, share, and collaborate on documents within the platform.

. Custom Workflows: Design custom workflows to match unique project needs and optimize processes.",,Monthly/ Annually,$7,,,,,
